Date : 2020-12-07 21:05:45
Directory : c:\Users\rainie\Documents\my_vue_project\myblog
Total : 79 files,  17737 codes, 279 comments, 680 blanks, all 18696 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\components\settings.vue               | Vue        |        215 |          2 |          7 |        224 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\index.js                        | JavaScript |          6 |          1 |          3 |         10 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\dashboard.svg               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\example.svg                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\eye-open.svg                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\eye.svg                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\form.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\link.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\nested.svg                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\password.svg                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\table.svg                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\tree.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svg\user.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\icons\svgo.yml                        | YAML       |          5 |         13 |          5 |         23 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\layout\components\sideBar\index.vue   | Vue        |         19 |          0 |          2 |         21 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\layout\components\sideBar\myCard.vue  | Vue        |        138 |          5 |          5 |        148 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\layout\components\sideBar\tags.vue    | Vue        |         52 |          3 |          3 |         58 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\layout\components\topNav.vue          | Vue        |        138 |          6 |         20 |        164 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\layout\index.vue                      | Vue        |        112 |         12 |          7 |        131 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\layout\mixin\ResizeHandler.js         | JavaScript |         51 |          2 |          4 |         57 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\main.js                               | JavaScript |         23 |          4 |          9 |         36 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\permission.js                         | JavaScript |         36 |          7 |          7 |         50 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\router\index.js                       | JavaScript |         67 |          2 |         12 |         81 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\settings.js                           | JavaScript |          3 |          0 |          2 |          5 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\store\getters.js                      | JavaScript |          9 |          0 |          0 |          9 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\store\index.js                        | JavaScript |         13 |          0 |          3 |         16 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\store\modules\app.js                  | JavaScript |         51 |          0 |          5 |         56 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\store\modules\user.js                 | JavaScript |         97 |          4 |         10 |        111 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\styles\element-ui.scss                | SCSS       |         40 |          5 |         11 |         56 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\styles\element-variables.scss         | SCSS       |         13 |         10 |          9 |         32 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\styles\index.scss                     | SCSS       |         61 |          2 |         12 |         75 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\styles\mixin.scss                     | SCSS       |         24 |          0 |          5 |         29 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\styles\sidebar.scss                   | SCSS       |         66 |         18 |         18 |        102 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\styles\transition.scss                | SCSS       |         35 |          4 |         10 |         49 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\styles\variables.scss                 | SCSS       |         16 |          3 |          3 |         22 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\theme\element_default\config.json     | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\theme\element_default\theme\index.css | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\theme\green\config.json               | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\theme\green\theme\index.css           | CSS        |          1 |          0 |          0 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\utils\auth.js                         | JavaScript |         20 |          0 |          8 |         28 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\utils\get-page-title.js               | JavaScript |          8 |          0 |          3 |         11 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\utils\request.js                      | JavaScript |         66 |         21 |          8 |         95 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\utils\time.js                         | JavaScript |         10 |          0 |          4 |         14 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\about.vue                       | Vue        |        163 |         25 |          9 |        197 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\archive.vue                     | Vue        |          9 |          0 |          4 |         13 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\articleDetail.vue               | Vue        |        131 |          7 |         14 |        152 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\categories.vue                  | Vue        |         73 |          3 |          6 |         82 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\categoryOrtagdetail.vue         | Vue        |        134 |          4 |          9 |        147 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\editArticle.vue                 | Vue        |        307 |          7 |          8 |        322 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\error-page\401.vue              | Vue        |         11 |          0 |          5 |         16 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\error-page\404.vue              | Vue        |         11 |          0 |          5 |         16 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\home.vue                        | Vue        |        162 |          6 |         12 |        180 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\project.vue                     | Vue        |          0 |          0 |          1 |          1 |
| c:\Users\rainie\Documents\my_vue_project\myblog\src\views\settings.vue                    | Vue        |        215 |          2 |          7 |        224 |
| c:\Users\rainie\Documents\my_vue_project\myblog\vue.config.js                             | JavaScript |        113 |         22 |         12 |        147 |
| Total                                                                                     |            |     17,737 |        279 |        680 |     18,696 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
